"","site number","H 1","H 2","H 3","H 4","H 5"
"1",2,-171.962127685547,-166.845245361328,-152.431838989258,-150.104843139648,-167.468566894531
"2",3,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"3",4,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"4",5,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"5",6,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"6",9,-172.298828125,-167.248764038086,-152.631134033203,-150.488342285156,-167.683410644531
"7",16,-171.962127685547,-166.845245361328,-152.431838989258,-150.104843139648,-167.468566894531
"8",21,-178.857482910156,-173.717254638672,-158.580001831055,-157.085479736328,-174.264907836914
"9",24,-185.719924926758,-180.579925537109,-164.72151184082,-164.045700073242,-181.057113647461
"10",27,-185.193740844727,-180.108795166016,-164.285415649414,-163.629150390625,-180.637298583984
"11",29,-185.193740844727,-180.108795166016,-164.285415649414,-163.629150390625,-180.637298583984
"12",30,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"13",31,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"14",32,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"15",35,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"16",36,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"17",37,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"18",38,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"19",39,-177.873184204102,-172.83154296875,-157.840957641602,-156.343948364258,-173.640502929688
"20",40,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"21",41,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"22",43,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
"23",44,-173.963729858398,-169.10302734375,-154.359237670898,-152.636016845703,-169.925308227539
"24",46,-176.843078613281,-171.897521972656,-156.973526000977,-155.451171875,-172.772766113281
"25",47,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
"26",48,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
"27",49,-171.339126586914,-166.728851318359,-152.159133911133,-150.325302124023,-167.699920654297
"28",50,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
"29",51,-171.339126586914,-166.728851318359,-152.159133911133,-150.325302124023,-167.699920654297
"30",52,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"31",59,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"32",62,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"33",63,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"34",64,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"35",65,-173.963729858398,-169.10302734375,-154.359237670898,-152.636016845703,-169.925308227539
"36",67,-173.963729858398,-169.10302734375,-154.359237670898,-152.636016845703,-169.925308227539
"37",68,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"38",70,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"39",71,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"40",73,-173.971939086914,-168.827301025391,-154.296844482422,-152.157287597656,-169.560211181641
"41",76,-171.339126586914,-166.728851318359,-152.159133911133,-150.325302124023,-167.699920654297
"42",80,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
"43",81,-167.840896606445,-164.260803222656,-149.286407470703,-148.08381652832,-165.138534545898
"44",82,-167.287689208984,-163.984817504883,-148.894577026367,-147.858428955078,-164.883148193359
"45",83,-169.609786987305,-165.691497802734,-150.799011230469,-149.46467590332,-166.64924621582
"46",84,-170.303787231445,-165.143142700195,-150.888626098633,-148.198684692383,-165.586044311523
"47",85,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"48",86,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"49",87,-167.840896606445,-164.260803222656,-149.286407470703,-148.08381652832,-165.138534545898
"50",88,-184.167602539062,-179.141235351562,-163.379089355469,-162.713851928711,-179.726455688477
"51",89,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"52",90,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"53",91,-172.843734741211,-167.884658813477,-153.237701416016,-151.299743652344,-168.538360595703
"54",92,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"55",93,-171.930801391602,-166.840591430664,-152.533813476562,-150.189163208008,-167.671142578125
"56",94,-170.303787231445,-165.143142700195,-150.888626098633,-148.198684692383,-165.586044311523
"57",95,-171.098236083984,-166.333908081055,-151.899078369141,-149.860290527344,-167.282333374023
"58",96,-171.339126586914,-166.728851318359,-152.159133911133,-150.325302124023,-167.699920654297
"59",97,-169.609786987305,-165.691497802734,-150.799011230469,-149.46467590332,-166.64924621582
"60",98,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"61",99,-177.873184204102,-172.83154296875,-157.840957641602,-156.343948364258,-173.640502929688
"62",100,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"63",101,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
"64",103,-186.123306274414,-182.824081420898,-165.001708984375,-166.931549072266,-182.456771850586
"65",104,-171.339126586914,-166.728851318359,-152.159133911133,-150.325302124023,-167.699920654297
"66",105,-174.412933349609,-169.344818115234,-154.483749389648,-152.562026977539,-169.681991577148
"67",106,-173.696746826172,-168.722320556641,-154.092788696289,-152.182342529297,-169.521896362305
